country	FLAI_time	t1	t2	s_hat	s_var	alpha_count_t1	alpha_count_t2	wt_count_t1	wt_count_t2	tmin	tmax	x_wt	x_alpha	x_voc
SPAIN	44209	12/30/2020	01/29/2021	0.024	8.6e-06	260	960	774.0	1381.0	44173	44289	0.7122997081629681	0.2776290528198094	0.010071239017222566
SPAIN	44216	01/06/2021	02/05/2021	0.02	6e-06	484	1098	777.0	960.0	44173	44289	0.717784934725211	0.2703069535354685	0.011908111739320493
SPAIN	44223	01/13/2021	02/12/2021	0.056	6.9e-06	667	1286	1034.0	371.0	44173	44289	0.700676005178777	0.28269643245130127	0.01662756236992169
CA	44208	12/29/2020	01/28/2021	0.039	1.71e-05	90	277	5109.0	4985.0	44193	44308	0.5303029005249897	0.011578397686354137	0.4581187017886561
CA	44215	01/05/2021	02/04/2021	0.05	1.19e-05	127	388	6108.0	4161.0	44193	44308	0.506069109324887	0.014589228075519114	0.4793416625995939
CA	44222	01/12/2021	02/11/2021	0.064	9.8e-06	150	536	6843.0	3590.0	44193	44308	0.47926068324830406	0.023349704781540623	0.4973896119701553
CA	44229	01/19/2021	02/18/2021	0.076	8.7e-06	173	681	6221.0	2526.0	44193	44308	0.46018688434365884	0.037149951781775825	0.5026631638745653
CA	44236	01/26/2021	02/25/2021	0.08	6.5e-06	250	873	5332.0	1686.0	44193	44308	0.4366995334240319	0.05314507243029885	0.5101553941456692
CA	44243	02/02/2021	03/04/2021	0.087	5.3e-06	353	1134	4299.0	1014.0	44193	44308	0.3949310219210944	0.0783069772382904	0.5267620008406152
CA	44250	02/09/2021	03/11/2021	0.105	5.3e-06	492	1503	3823.0	506.0	44193	44308	0.35045305438302177	0.11185767284884167	0.5376892727681366
