country	FLAI_time	t1	t2	s_hat	s_var	vaccinated	vac_cor	recovered	boosted	delta_recov	omi_recov	omi_count_t1	omi_count_t2	delta_count_t1	delta_count_t2	av_cases	x_delta	x_omi
SWITZERLAND	44542	11/28/2021	12/28/2021	0.154	1.85e-05	0.662	0.521	0.047	0.143	0.047	0.001	65	2066	6350	1991	1058.48	0.8969809070188756	0.1030188607237414
SWITZERLAND	44549	12/05/2021	01/04/2022	0.143	6.8e-06	0.665	0.473	0.053	0.184	0.053	0.003	232	2802	6040	1011	1248.46	0.7618720620788698	0.23812793792096917
SWITZERLAND	44556	12/12/2021	01/11/2022	0.137	4.9e-06	0.668	0.44	0.058	0.226	0.058	0.007	532	3252	5251	532	1663.53	0.5257829492817212	0.47421705071827147
SWITZERLAND	44563	12/19/2021	01/18/2022	0.127	6.1e-06	0.67	0.41	0.063	0.268	0.063	0.015	976	2999	3660	253	2136.52	0.29272417449507854	0.7072758255049368
SWITZERLAND	44570	12/26/2021	01/25/2022	0.112	1.13e-05	0.673	0.363	0.066	0.307	0.066	0.028	1829	2721	2336	122	2827.17	0.15343303878560388	0.8465669612143811
SWITZERLAND	44577	01/02/2022	02/01/2022	0.103	2.07e-05	0.675	0.324	0.069	0.342	0.069	0.047	2602	2693	1239	59	3395.96	0.0847445395028611	0.9152554604971319
SWITZERLAND	44584	01/09/2022	02/08/2022	0.097	3.83e-05	0.678	0.297	0.071	0.371	0.071	0.069	3186	2938	640	33	3633.58	0.04740000913039464	0.9525999908696029
NETHERLANDS	44537	11/23/2021	12/23/2021	0.138	2.9e-05	0.681	0.627	0.063	0.063	0.063	0.001	43	1606	3470	2083	1048.28	0.8707449447939266	0.12925505520607034
NETHERLANDS	44544	11/30/2021	12/30/2021	0.126	9.7e-06	0.684	0.588	0.069	0.107	0.069	0.002	149	2459	3508	1305	918.54	0.7742806908614819	0.22571930913851743
NETHERLANDS	44551	12/07/2021	01/06/2022	0.12	4.8e-06	0.686	0.526	0.073	0.17	0.073	0.004	452	3301	3424	676	889.78	0.5962634978562767	0.40373650214373263
NETHERLANDS	44558	12/14/2021	01/13/2022	0.13	6.5e-06	0.688	0.443	0.076	0.248	0.076	0.008	801	3810	3036	298	1089.39	0.3765020668409604	0.623497933159044
