country	time	freq_delta	freq_omi	x_delta	x_omi	var_d	var_o	R_eff_vac	R_eff_boost	R_eff_delta	R_eff_omi	R_vac	R_boost	R_delta	R_omi	Cov	Cdv	Cob	Cdb	Cod	Cdd	Coo	Cdo	model_x_delta	model_x_omi
BELGIUM	44526	0.9886420069712906	0.011352511004347522	0.9887329511761218	0.011267048823878236	2.202036456746103e-06	2.2020364567461123e-06	0.4015160211107468	0.12888245551010244	0.05244145047203313	4.8826696921132935e-05	0.7503	0.1363	0.053483430094377435	6.17492616281575e-05	0.016004392053319782	0.26836084580286296	0.12033169999442514	0.12867316659264355	0.0033779404042023346	0.04140254953075377	3.9717078605052507e-05	4.313479950648386e-06	0.987985497972038	0.012014502027961916
BELGIUM	44527	0.9857357980214051	0.014261898822612761	0.9857904085257548	0.014209591474245116	2.764491609311274e-06	2.7644916093112638e-06	0.39892091939802177	0.13241605880421298	0.0543736243043372	6.727999899028633e-05	0.7504000000000001	0.1366	0.053483430094377435	6.17492616281575e-05	0.015836233454696685	0.26656164228720025	0.1227660624221699	0.13133622914665855	0.0035161356061588767	0.04294173868075327	5.4713248774661064e-05	5.929402397171087e-06	0.9858006401186006	0.014199359881399424
BELGIUM	44528	0.9820050469526538	0.017994116869337603	0.9820335636722606	0.017966436327739387	3.519638437418447e-06	3.4820814137433467e-06	0.3936007321628074	0.1342669928001263	0.05428149837861853	6.726122758085648e-05	0.7506	0.1431	0.053483430094377435	6.17492616281575e-05	0.015565554630295573	0.26294717762768305	0.1228693850691947	0.13155934702912722	0.0034694282001015873	0.042828231972153005	5.462250247941882e-05	5.852267005134229e-06	0.9832486297627396	0.016751370237260314
BELGIUM	44529	0.9772344685041966	0.022765273384807102	0.9772502472799208	0.02274975272007913	4.398061616469718e-06	4.398061616469709e-06	0.3875965756524144	0.14041387409950154	0.0541873727860156	6.723981454743132e-05	0.7509	0.1517	0.05752175924019006	0.00013574701432006212	0.015290949740363869	0.25889890602196647	0.12874000208033845	0.13782779945424578	0.0034232916127316763	0.04271384614996378	5.453074031835253e-05	5.776031154245794e-06	0.9802759892577323	0.019724010742267713
BELGIUM	44530	0.9712612612628186	0.028738672123483095	0.9714115544967242	0.02858844550327576	5.5484123342695184e-06	5.511273550256545e-06	0.38121829410333435	0.14808515732014313	0.05849376212373885	0.00014788666252853766	0.7515000000000001	0.16140000000000002	0.058913471875439404	0.00016816780956998483	0.015019579632184593	0.2546187282246464	0.13655668899755782	0.14614098337330447	0.0037763375461450596	0.046189398609030985	0.0001202355763633445	1.3004893629334855e-05	0.9767785994908841	0.02322140050911588
BELGIUM	44531	0.964022959610511	0.03597702597235427	0.9641148325358851	0.03588516746411483	6.931585171438566e-06	6.894714532082922e-06	0.3749574329521663	0.156610939703798	0.05991201869743152	0.00018318876153747743	0.7517	0.17170000000000002	0.06061755560284208	0.00021858998274418756	0.01478710726716758	0.2504512479534535	0.1453867990282418	0.1555228948784053	0.003863528596370723	0.047304948931748275	0.000148863664020038	1.603589150153384e-05	0.9727007131403632	0.0272992868596368
BELGIUM	44532	0.9555804493008851	0.04441954588801082	0.9557202965337608	0.04427970346623923	8.512313766375314e-06	8.475746524299991e-06	0.36864951079198677	0.165657332404994	0.061668369879838945	0.0002381029150460302	0.752	0.18109999999999998	0.06253303212419005	0.0002900749488136818	0.014510966951416454	0.24621052146137146	0.15476389006753044	0.1654854820758229	0.0039803850915985615	0.04869531267360758	0.00019344954565880072	2.0804239416820807e-05	0.9679522635650797	0.03204773643492037
BELGIUM	44533	0.9461055899023381	0.0538943954936748	0.9462018940157163	0.0537981059842837	1.0288867248226367e-05	1.0252658762565027e-05	0.36461360370059304	0.17419625060156688	0.06365261280857853	0.0003159614065394927	0.7524	0.1852	0.06400431431458958	0.0003584665602352825	0.014308833156774982	0.24347178352717602	0.16329139844800258	0.17456564210030448	0.004116554175857728	0.05027023032599957	0.0002566890182714045	2.7589539241036748e-05	0.9624125540494304	0.03758744595056959
BELGIUM	44534	0.9358373201999746	0.06416261141267528	0.9359026369168357	0.0640973630831643	1.2199213859326366e-05	1.2163366150482904e-05	0.36219202089712216	0.17918570159098865	0.06514992917773933	0.00039042304487641594	0.7524	0.1856	0.06400431431458958	0.0003584665602352825	0.01416288974972765	0.24180385340823052	0.16687548725277587	0.17847265568647633	0.004207072172895633	0.05144643281810097	0.0003170717693987042	3.398113132909312e-05	0.9559591561884649	0.04404084381153509
BELGIUM	44535	0.9250207510925599	0.07497897970165046	0.9251533742331288	0.07484662576687116	1.4190433801526704e-05	1.4154895923165128e-05	0.35672399404579896	0.18168218791327168	0.06504062826774767	0.00039029854827277166	0.7526	0.1925	0.06400431431458958	0.0003584665602352825	0.013893644652764846	0.23809790393919833	0.16700993865953592	0.17876868344734767	0.004151147516969173	0.05131125550340555	0.0003165388843746317	3.353851716230135e-05	0.9485332743475955	0.05146672565240456
