country	FLAI_time	t1	t2	s_hat	s_var	ba1_count_t1	ba1_count_t2	ba2_count_t1	ba2_count_t2	tmin	tmax	x_ba1	x_ba2
BELGIUM	44585	01/05/2022	02/14/2022	0.087	3.82e-05	1815	1669	19	556	44565	44679	0.9220430518712517	0.05917128573228537
BELGIUM	44592	01/12/2022	02/21/2022	0.086	2.02e-05	1800	1167	38	763	44565	44679	0.8859460956778024	0.10555726452374674
BELGIUM	44599	01/19/2022	02/28/2022	0.088	1.06e-05	1788	737	71	977	44565	44679	0.8289117169872029	0.16567146761524587
BELGIUM	44606	01/26/2022	03/07/2022	0.09	7.4e-06	2057	451	144	1163	44565	44679	0.7285603620763828	0.2672935673140945
BELGIUM	44613	02/02/2022	03/14/2022	0.09	5.1e-06	2126	278	274	1312	44565	44679	0.5792082396854553	0.4173728590204703
BELGIUM	44620	02/09/2022	03/21/2022	0.092	6.2e-06	1968	174	424	1476	44565	44679	0.4038848491364255	0.5923776941532445
BELGIUM	44627	02/16/2022	03/28/2022	0.091	7.3e-06	1521	106	615	1634	44565	44679	0.26158610683598765	0.7355945431527097
BELGIUM	44634	02/23/2022	04/04/2022	0.088	1.07e-05	1035	67	823	1761	44565	44679	0.16274837583360915	0.8357231162538137
BELGIUM	44641	03/02/2022	04/11/2022	0.08	1.62e-05	639	45	1035	1744	44565	44679	0.09826840747461185	0.9008125042859554
BELGIUM	44648	03/09/2022	04/18/2022	0.072	2.44e-05	393	30	1207	1637	44565	44679	0.0567195873054066	0.9431114011996502
BELGIUM	44655	03/16/2022	04/25/2022	0.065	3.77e-05	242	20	1358	1486	44565	44679	0.03467340324819703	0.9653258835044793
CANADA	44614	02/03/2022	03/15/2022	0.107	7.5e-06	9261	2881	98	2221	44594	44679	0.8532761869238966	0.14573365721731069
CANADA	44621	02/10/2022	03/22/2022	0.09	2.3e-06	8297	2551	329	3652	44594	44679	0.7821974265571888	0.21736300771939485
CANADA	44628	02/17/2022	03/29/2022	0.081	1.4e-06	6810	2171	658	5445	44594	44679	0.6862899314497577	0.31357741634480124
CANADA	44635	02/24/2022	04/05/2022	0.077	1.3e-06	5213	1614	965	6556	44594	44679	0.542948627794051	0.4567503562156977
CANADA	44642	03/03/2022	04/12/2022	0.079	1.4e-06	4159	1049	1228	7352	44594	44679	0.38988855824788277	0.6095826905204781
CANADA	44649	03/10/2022	04/19/2022	0.082	1.9e-06	3248	575	1617	7580	44594	44679	0.2711546286815705	0.7283177830481581
CANADA	44656	03/17/2022	04/26/2022	0.081	2.5e-06	2775	318	2549	7546	44594	44679	0.18588493373492426	0.8135687802373843
FINLAND	44587	01/07/2022	02/16/2022	0.091	3.52e-05	1899	757	21	313	44567	44689	0.9001385716417812	0.08497865489717656
FINLAND	44594	01/14/2022	02/23/2022	0.082	1.63e-05	2075	530	48	327	44567	44689	0.8457954171953876	0.14606486140673522
FINLAND	44601	01/21/2022	03/02/2022	0.071	1.04e-05	2002	421	103	364	44567	44689	0.7744899035722506	0.22047199703780954
FINLAND	44608	01/28/2022	03/09/2022	0.062	6.8e-06	1775	367	183	452	44567	44689	0.6914262976189064	0.3063570519344818
FINLAND	44615	02/04/2022	03/16/2022	0.056	5.7e-06	1382	306	258	541	44567	44689	0.6069757358134867	0.39191972908884465
FINLAND	44622	02/11/2022	03/23/2022	0.056	6.7e-06	1019	216	308	608	44567	44689	0.5228664158741779	0.476790131122592
FINLAND	44629	02/18/2022	03/30/2022	0.057	8.3e-06	668	145	316	679	44567	44689	0.43645121082217553	0.5635472141694956
FINLAND	44636	02/25/2022	04/06/2022	0.063	1.28e-05	496	85	335	715	44567	44689	0.3476803065847097	0.6523196934143716
FINLAND	44643	03/04/2022	04/13/2022	0.071	1.67e-05	400	48	384	779	44567	44689	0.24877354237856228	0.751226457621429
FINLAND	44650	03/11/2022	04/20/2022	0.073	2.8e-05	354	30	480	728	44567	44689	0.16611596249443744	0.8338840375055583
FINLAND	44657	03/18/2022	04/27/2022	0.077	4.36e-05	280	16	560	684	44567	44689	0.09813026121385912	0.9018697387861381
FRANCE	44588	01/08/2022	02/17/2022	0.099	1.01e-05	5433	4751	62	2835	44568	44675	0.8902965109960488	0.08991911556899916
FRANCE	44595	01/15/2022	02/24/2022	0.092	4.2e-06	5854	3582	175	4210	44568	44675	0.8459676487247362	0.14228590917750517
FRANCE	44602	01/22/2022	03/03/2022	0.09	2.1e-06	6473	2559	382	5544	44568	44675	0.7496413345729617	0.24248144422933282
FRANCE	44609	01/29/2022	03/10/2022	0.092	1.4e-06	6791	1623	739	6951	44568	44675	0.5993781397724587	0.3949111029214073
FRANCE	44616	02/05/2022	03/17/2022	0.094	1.3e-06	6533	1017	1192	8046	44568	44675	0.436266934913051	0.5593395167443831
FRANCE	44623	02/12/2022	03/24/2022	0.092	1.4e-06	5592	604	1998	8388	44568	44675	0.29538230670263105	0.7003795210814229
FRANCE	44630	02/19/2022	03/31/2022	0.084	1.8e-06	4399	406	3200	8335	44568	44675	0.175292616596576	0.8212898058230784
FRANCE	44637	02/26/2022	04/07/2022	0.077	3.2e-06	3298	231	4609	7062	44568	44675	0.10405934968121883	0.8937851139609608
FRANCE	44644	03/05/2022	04/14/2022	0.073	5.2e-06	2264	122	5900	5859	44568	44675	0.06332655997461124	0.9355797748044943
FRANCE	44651	03/12/2022	04/21/2022	0.067	1e-05	1431	69	7323	5160	44568	44675	0.04425424957410613	0.9551084276947783
GERMANY	44575	12/26/2021	02/04/2022	0.08	1.06e-05	6553	25880	67	6366	44555	44683	0.8003449082038568	0.06343580169158855
GERMANY	44582	01/02/2022	02/11/2022	0.069	3e-06	10056	25966	217	8815	44555	44683	0.8371401899867902	0.10613485471117409
GERMANY	44589	01/09/2022	02/18/2022	0.06	1.1e-06	13864	22158	636	11054	44555	44683	0.8263001995842372	0.15207962124980182
GERMANY	44596	01/16/2022	02/25/2022	0.055	5e-07	16706	17164	1432	13409	44555	44683	0.7885244707673208	0.20293632595594935
GERMANY	44603	01/23/2022	03/04/2022	0.057	4e-07	20570	12244	2755	15897	44555	44683	0.7339039884841897	0.26170670714970734
GERMANY	44610	01/30/2022	03/11/2022	0.059	3e-07	24224	8707	4689	17656	44555	44683	0.6521418781964954	0.34537630394377294
GERMANY	44617	02/06/2022	03/18/2022	0.061	3e-07	26259	5790	7068	17685	44555	44683	0.5428230773214361	0.45543784965402
GERMANY	44624	02/13/2022	03/25/2022	0.063	3e-07	25260	3587	9478	16927	44555	44683	0.41762531122278695	0.5809238875902278
GERMANY	44631	02/20/2022	04/01/2022	0.066	4e-07	20748	2174	11672	17272	44555	44683	0.3173020831432565	0.6811606049745048
GERMANY	44638	02/27/2022	04/08/2022	0.068	6e-07	15676	1340	14142	18478	44555	44683	0.23510234936608213	0.7632340028097854
GERMANY	44645	03/06/2022	04/15/2022	0.069	8e-07	11119	853	16538	19811	44555	44683	0.16529579914036688	0.8330105532238546
GERMANY	44652	03/13/2022	04/22/2022	0.072	1.4e-06	7853	473	17838	19514	44555	44683	0.10363507427569285	0.8945402328476352
GERMANY	44659	03/20/2022	04/29/2022	0.077	2.7e-06	5058	243	17453	17839	44555	44683	0.06303921290837415	0.9346748089869592
ITALY	44597	01/17/2022	02/26/2022	0.106	2.66e-05	2528	694	27	497	44577	44698	0.8984101966595786	0.07211711652353481
ITALY	44604	01/24/2022	03/05/2022	0.097	1.23e-05	2581	626	63	732	44577	44698	0.8419752814972606	0.13303495425223358
ITALY	44611	01/31/2022	03/12/2022	0.087	8.1e-06	2185	583	107	924	44577	44698	0.7108420460384411	0.2727246496617796
ITALY	44618	02/07/2022	03/19/2022	0.083	6.3e-06	1790	468	155	1128	44577	44698	0.5582201847643548	0.43493663837631674
ITALY	44625	02/14/2022	03/26/2022	0.079	6e-06	1186	329	212	1373	44577	44698	0.4471091740062875	0.5501310194871453
ITALY	44632	02/21/2022	04/02/2022	0.064	5e-06	778	260	335	1424	44577	44698	0.3762752710177857	0.6225059733980092
ITALY	44639	02/28/2022	04/09/2022	0.055	6.1e-06	669	177	564	1346	44577	44698	0.27529602935597175	0.7239676272277182
ITALY	44646	03/07/2022	04/16/2022	0.054	7.8e-06	611	110	788	1214	44577	44698	0.18663629971338017	0.8127773920376143
ITALY	44653	03/14/2022	04/23/2022	0.058	1.12e-05	570	71	988	1253	44577	44698	0.14978668259719924	0.8495548554674549
ITALY	44660	03/21/2022	04/30/2022	0.056	1.5e-05	412	50	1190	1315	44577	44698	0.1110700846661782	0.8882586915239058
ITALY	44667	03/28/2022	05/07/2022	0.055	2.51e-05	311	30	1411	1200	44577	44698	0.07868170974038811	0.9200840180488664
ITALY	44674	04/04/2022	05/14/2022	0.059	5.17e-05	238	15	1409	924	44577	44698	0.05121300753465486	0.9455420428074262
NETHERLANDS	44595	01/15/2022	02/24/2022	0.11	1.72e-05	3796	1711	39	1430	44575	44686	0.9143221692329728	0.08056559632188384
NETHERLANDS	44602	01/22/2022	03/03/2022	0.108	9.6e-06	3743	1180	81	1900	44575	44686	0.8350740470451037	0.1627622363313059
NETHERLANDS	44609	01/29/2022	03/10/2022	0.103	5e-06	3551	766	167	2210	44575	44686	0.6985051265710235	0.30105329116887625
NETHERLANDS	44616	02/05/2022	03/17/2022	0.097	3.4e-06	3243	498	319	2331	44575	44686	0.5195747819523282	0.48033937980515223
NETHERLANDS	44623	02/12/2022	03/24/2022	0.088	3.6e-06	2829	284	616	2040	44575	44686	0.3627289990448893	0.6372705748620072
NETHERLANDS	44630	02/19/2022	03/31/2022	0.075	5.3e-06	2138	164	1033	1587	44575	44686	0.24317506900720706	0.7568249309925511
NETHERLANDS	44637	02/26/2022	04/07/2022	0.062	7.8e-06	1555	93	1585	1108	44575	44686	0.1670264069233278	0.8329735930766784
NETHERLANDS	44644	03/05/2022	04/14/2022	0.059	1.5e-05	1044	48	1999	962	44575	44686	0.11685715717755608	0.8831428428224479
NETHERLANDS	44651	03/12/2022	04/21/2022	0.065	2.65e-05	680	27	2278	1181	44575	44686	0.09115598657446988	0.9088440134255303
NETHERLANDS	44658	03/19/2022	04/28/2022	0.063	3.22e-05	430	22	2286	1411	44575	44686	0.07471844203151218	0.9252815461434973
NETHERLANDS	44665	03/26/2022	05/05/2022	0.063	4.45e-05	241	16	1918	1511	44575	44686	0.042915188382325914	0.9569202411277467
NORWAY	44569	12/20/2021	01/29/2022	0.086	2.7e-05	1766	2510	24	1025	44549	44676	0.8077728473898744	0.1066987885697584
NORWAY	44576	12/27/2021	02/05/2022	0.062	5.9e-06	2229	2120	131	1460	44549	44676	0.8086817771674847	0.1544191623229551
NORWAY	44583	01/03/2022	02/12/2022	0.06	2.8e-06	2756	1765	284	1973	44549	44676	0.7733290558105614	0.21118647842054464
NORWAY	44590	01/10/2022	02/19/2022	0.064	2.4e-06	3153	1377	438	2513	44549	44676	0.6898711028222871	0.3037581508810831
NORWAY	44597	01/17/2022	02/26/2022	0.068	1.9e-06	3029	1000	608	2992	44549	44676	0.572791184887287	0.42417407839363225
NORWAY	44604	01/24/2022	03/05/2022	0.07	2.2e-06	2790	672	808	3134	44549	44676	0.4547113396047723	0.5434267028661243
NORWAY	44611	01/31/2022	03/12/2022	0.068	2.3e-06	2386	424	1133	3075	44549	44676	0.33735945662214123	0.6615002906105867
NORWAY	44618	02/07/2022	03/19/2022	0.068	3.4e-06	2020	239	1607	2844	44549	44676	0.2378868590905643	0.761322057242572
NORWAY	44625	02/14/2022	03/26/2022	0.067	5.8e-06	1656	131	2119	2489	44549	44676	0.16822766818358328	0.8313605116252853
NORWAY	44632	02/21/2022	04/02/2022	0.068	9.7e-06	1267	69	2671	2151	44549	44676	0.1140600729587753	0.8857042920413427
NORWAY	44639	02/28/2022	04/09/2022	0.066	1.74e-05	896	39	3065	1859	44549	44676	0.07306741667843736	0.9268971587038543
NORWAY	44646	03/07/2022	04/16/2022	0.065	3.3e-05	598	23	3137	1547	44549	44676	0.04701762086517405	0.9529130062885971
NORWAY	44653	03/14/2022	04/23/2022	0.06	5.02e-05	362	15	3018	1333	44549	44676	0.029199561123150183	0.970399794044289
NY	44601	01/21/2022	03/02/2022	0.095	2.18e-05	2875	1661	32	811	44581	44676	0.9494572202856573	0.04614444589940114
NY	44608	01/28/2022	03/09/2022	0.101	1.26e-05	3005	1346	56	1416	44581	44676	0.9059671442210552	0.09096586369377674
NY	44615	02/04/2022	03/16/2022	0.105	9e-06	2993	1074	89	2165	44581	44676	0.8106829683619472	0.18683243678044023
NY	44622	02/11/2022	03/23/2022	0.11	5.1e-06	2723	824	145	3631	44581	44676	0.6433743215654878	0.3546787947435641
NY	44629	02/18/2022	03/30/2022	0.112	4.1e-06	2277	584	255	5744	44581	44676	0.4635035708604584	0.5353432777149771
NY	44636	02/25/2022	04/06/2022	0.106	3.4e-06	1892	418	494	7665	44581	44676	0.3093522389962662	0.6900044102843694
NY	44643	03/04/2022	04/13/2022	0.098	3.2e-06	1571	286	974	8915	44581	44676	0.16758320108012403	0.8319854564260156
