country	time	freq_alpha	freq_delta	freq_other	x_alpha	x_delta	var_a	var_d	var_other	R_eff_vac	R_eff_alpha	R_eff_delta	R_vac	R_alpha	R_delta	Cdv	Cav	Cda	Caa	Cdd	Cad	model_x_alpha	model_x_delta
BELGIUM	44302	0.8868284918982529	0.009161515649413698	0.10400999245233344	0.9899053627760253	0.010094637223974764	2.838936143211969e-05	2.5318854690537844e-06	0.0	0.05519037788401591	0.015766422940485077	1.6520447322313584e-05	0.0661	0.01830295787479527	2.326154761997792e-05	0.04906831415089685	0.05647648621775404	0.009916516959944692	0.014707604753815176	1.737920723438698e-05	1.1184650131873719e-05	0.9956293871854307	0.004370612814569278
BELGIUM	44303	0.8874889417940082	0.009968036063470673	0.1025430221425212	0.9890282131661442	0.0109717868338558	2.808927563058274e-05	2.7421543246337514e-06	0.0	0.05593883420368526	0.01605267264035422	1.870617610099336e-05	0.0661	0.018591672031285162	2.6244152810331783e-05	0.049315282298305216	0.05682391921815344	0.010055990970031998	0.014934064090137804	1.9852661127355995e-05	1.2838536523673989e-05	0.9953274302005671	0.004672569799432822
BELGIUM	44304	0.8881308336486022	0.010810196648199153	0.10105896970319861	0.9881693648816936	0.011830635118306352	2.781014602386926e-05	2.9432842634965862e-06	0.0	0.05640978930178672	0.01633375928498766	2.1025405887899696e-05	0.0665	0.018820251856246768	2.8811499659739483e-05	0.04913783018885484	0.05670968313541394	0.01018855456102436	0.015152044062335137	2.2464180929009714e-05	1.4580430880656092e-05	0.99500321062568	0.004996789374320045
BELGIUM	44305	0.8887716443378859	0.01166179059412426	0.09956656506798978	0.9873182802350757	0.012681719764924219	2.750360125278905e-05	3.1431564204554654e-06	0.0	0.057105819656488255	0.016573724383098412	2.305152844238816e-05	0.0668	0.018944702655101685	3.032629630644552e-05	0.04929700797857935	0.056962288671587674	0.010279395424969036	0.01531580532533629	2.470179416721151e-05	1.605832305225476e-05	0.9946549672569268	0.0053450327430731815
BELGIUM	44306	0.8894167056265821	0.012499899211213906	0.09808339516220399	0.9861581051984005	0.013841894801599508	2.7303643610369812e-05	3.419374783169123e-06	0.0	0.05774836068611773	0.01674151397041705	2.430892236261634e-05	0.0672	0.01920677273837809	3.376498210568806e-05	0.04936978020349006	0.05712130880220242	0.01029891194545278	0.015386309609295325	2.599937682316389e-05	1.6884429465025387e-05	0.9942812072314067	0.005718792768593309
BELGIUM	44307	0.8900516187568532	0.013312188526076454	0.09663619271707036	0.9852941176470589	0.014705882352941176	2.7070897977717565e-05	3.6282473510494047e-06	0.0	0.05844911084155655	0.01700514932229065	2.7002516574396082e-05	0.0678	0.019597716431696104	3.92593209603785e-05	0.049525247280439	0.057370837161686464	0.010411149910108958	0.015578660870490757	2.9004997639333217e-05	1.8880052014783846e-05	0.9938794720020059	0.006120527997994099
BELGIUM	44308	0.8906435712887729	0.014098837881530935	0.09525759082969609	0.9847094801223242	0.01529051987767584	2.692328586320814e-05	3.7731548904134395e-06	0.0	0.05926481572363724	0.017359296075587293	3.124044887861138e-05	0.0684	0.019931093628647603	4.424552625745087e-05	0.04984767434229103	0.057802755811636124	0.010609753944782824	0.01588488273283316	3.383303236547007e-05	2.2119018773034054e-05	0.9934469699911413	0.00655303000885866
BELGIUM	44309	0.891151187823487	0.014869154747813246	0.09397965742869974	0.9837970039743198	0.01620299602568022	2.6859388739388015e-05	4.004970745141718e-06	0.0	0.06008426208592924	0.017674614581865904	3.5129511469327275e-05	0.06860000000000001	0.020205277178465302	4.858583650419605e-05	0.05016776752534739	0.05823284279948536	0.010768058603930037	0.016139006123490722	3.820079591122944e-05	2.5028527598238798e-05	0.9929814060914608	0.007018593908539214
BELGIUM	44310	0.8915391942489667	0.015634281436047125	0.09282652431498617	0.982858891949801	0.017141108050198958	2.6864943869688753e-05	4.2490870926166636e-06	0.0	0.0606826050441881	0.017949619378595558	3.856454347783061e-05	0.06860000000000001	0.020506660269158674	5.361451387693116e-05	0.05014770051527017	0.05829309101390414	0.010885144336521187	0.01633966009028698	4.1986430139530474e-05	2.7526151792035827e-05	0.9924806363765102	0.007519363623489808
BELGIUM	44311	0.8917923375529748	0.016398465754055583	0.09180919669296961	0.9821976672805403	0.01780233271945979	2.6879698977521053e-05	4.432465825271956e-06	0.0	0.061169673675669556	0.01824421615762849	4.2532938028048084e-05	0.0692	0.020688841133697965	5.680928862922799e-05	0.04995714399783696	0.058167913433320506	0.011019705656174238	0.01656374323981014	4.637718211415159e-05	3.0428902493627134e-05	0.9919419151389403	0.008058084861059783
