Country	time	s_hat	s_var	x_eff_vac	x_eff_alpha	x_eff_delta	cases	dC_vac	dC_alpha	dC_delta	s_model	s_0	L
ITALY	44324	0.065	2.33e-05	0.102262625755544	0.021299903532503	0.0003491177425586	19.281079374685085	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.06406257231424582	0.031693086387403056	4.395732325877507
ITALY	44331	0.064	1.65e-05	0.1199358191700014	0.0223183553438198	0.0003797261289448	15.794930352474102	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.0677006489410961	0.031693086387403056	4.172142537589782
ITALY	44338	0.063	1.53e-05	0.141349799654211	0.0231150341690904	0.0004056787805486	11.879576668036997	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.07179323462300158	0.031693086387403056	2.098061078795469
ITALY	44345	0.071	1.45e-05	0.1659240534153929	0.0237404358888014	0.0004323149761845	8.435420460134896	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.07627753092820583	0.031693086387403056	3.6913171556100925
ITALY	44352	0.083	1.4e-05	0.1866299454179618	0.0242043897530696	0.0004655498652206	5.883218132493907	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.07999908284606314	0.031693086387403056	4.3476629465129575
ITALY	44359	0.093	1.35e-05	0.2065518836296745	0.02453889172274	0.0005069520357258	4.248894243060141	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.08348772431417645	0.031693086387403056	1.336235283680831
ITALY	44366	0.099	1.28e-05	0.2325844498793552	0.024743424591291	0.0005450116712236	2.989358291984768	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.08788793498506108	0.031693086387403056	-0.10926478094429282
ITALY	44373	0.098	1.31e-05	0.2637220885500093	0.0248268553228644	0.0005788931998625	2.0591387702824253	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.09304165545153394	0.031693086387403056	3.7641449565783707
ITALY	44380	0.1	1.4e-05	0.2982548576440185	0.0248045968341252	0.0006219739821458	1.46096893805606	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.09866675406744382	0.031693086387403056	4.605804341088492
ITALY	44387	0.098	1.64e-05	0.3402394254213722	0.0246814147818253	0.000694534565132	1.4005059115363636	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.10541553659800651	0.031693086387403056	2.913646107741232
ITALY	44394	0.095	2.62e-05	0.3879817486309149	0.0244625987146435	0.0008423848571905	2.1752609116257333	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.11297113583964671	0.031693086387403056	-1.80745462691588
BELGIUM	44322	0.044	3.41e-05	0.080310340826071	0.0208859538270155	8.487199028045286e-05	27.53144811694712	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.07247575214159772	0.043783291549424876	-7.665398808972951
BELGIUM	44329	0.041	2.5499999999999996e-05	0.0946955538667179	0.0225525258642036	0.0001207634300849	25.08782846159679	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.0760508240769183	0.043783291549424876	-19.719939509149338
BELGIUM	44336	0.05	2.06e-05	0.1185903305569224	0.0239311109262801	0.0001567213062906	22.126685839660382	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.0809758119152412	0.043783291549424876	-18.812686166110556
BELGIUM	44343	0.069	1.87e-05	0.1445561113681404	0.0252319262178656	0.0002005958611803	19.15178845449245	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.0861763108027469	0.043783291549424876	-3.3638314544565446
BELGIUM	44350	0.092	1.59e-05	0.1740181323758852	0.0263991527714711	0.0002561292450887	16.70043174482438	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.09184177920506204	0.043783291549424876	4.604869964121894
BELGIUM	44357	0.115	1.56e-05	0.209520570294389	0.0272528997034853	0.000311292253859	12.719717298351302	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.09826783700564354	0.043783291549424876	-4.358064816148742
BELGIUM	44364	0.126	1.64e-05	0.2462487891436744	0.0278307351709833	0.0003715893844267	8.746310069844968	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.10468531297000785	0.043783291549424876	-9.2609179212265
BELGIUM	44371	0.134	1.73e-05	0.2755765484866538	0.02822517109349	0.0004712815306273	5.803650411000922	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.10971245294234622	0.043783291549424876	-12.485234252886181
