Country	time	s_hat	s_var	x_eff_vac	x_eff_alpha	x_eff_delta	cases	dC_vac	dC_alpha	dC_delta
ITALY	44324	0.065	1.46e-05	0.10226262575554405	0.02129990353250304	0.00034911774255867684	19.281079374685085	0.13422941372906827	0.3038791875592727	-0.37496303711743273
ITALY	44331	0.064	7.8e-06	0.11993581917000147	0.022318355343819835	0.00037972612894481835	15.794930352474102	0.13422941372906827	0.3038791875592727	-0.37496303711743273
ITALY	44338	0.063	6.6e-06	0.141349799654211	0.023115034169090446	0.00040567878054865525	11.879576668036997	0.13422941372906827	0.3038791875592727	-0.37496303711743273
ITALY	44345	0.071	5.8e-06	0.16592405341539299	0.023740435888801446	0.0004323149761845016	8.435420460134896	0.13422941372906827	0.3038791875592727	-0.37496303711743273
ITALY	44352	0.083	5.3e-06	0.1866299454179618	0.02420438975306964	0.0004655498652206326	5.883218132493907	0.13422941372906827	0.3038791875592727	-0.37496303711743273
ITALY	44359	0.093	4.8e-06	0.20655188362967453	0.02453889172274007	0.0005069520357258768	4.248894243060141	0.13422941372906827	0.3038791875592727	-0.37496303711743273
ITALY	44366	0.099	4.1e-06	0.23258444987935523	0.02474342459129102	0.0005450116712236908	2.9893582919847677	0.13422941372906827	0.3038791875592727	-0.37496303711743273
ITALY	44373	0.098	4.4e-06	0.26372208855000934	0.024826855322864425	0.0005788931998625804	2.0591387702824253	0.13422941372906827	0.3038791875592727	-0.37496303711743273
ITALY	44380	0.1	5.3e-06	0.29825485764401855	0.024804596834125205	0.0006219739821458135	1.46096893805606	0.13422941372906827	0.3038791875592727	-0.37496303711743273
ITALY	44387	0.098	7.7e-06	0.3402394254213722	0.024681414781825364	0.0006945345651320611	1.4005059115363636	0.13422941372906827	0.3038791875592727	-0.37496303711743273
ITALY	44394	0.095	1.75e-05	0.38798174863091495	0.02446259871464356	0.0008423848571905636	2.1752609116257333	0.13422941372906827	0.3038791875592727	-0.37496303711743273
BELGIUM	44322	0.044	2.54e-05	0.08031034082607105	0.020885953827015573	8.487199028045286e-05	27.53144811694712	0.13422941372906827	0.3038791875592727	-0.37496303711743273
BELGIUM	44329	0.041	1.68e-05	0.09469555386671798	0.022552525864203605	0.00012076343008492307	25.08782846159679	0.13422941372906827	0.3038791875592727	-0.37496303711743273
BELGIUM	44336	0.05	1.19e-05	0.11859033055692246	0.023931110926280173	0.00015672130629063163	22.126685839660382	0.13422941372906827	0.3038791875592727	-0.37496303711743273
BELGIUM	44343	0.069	1e-05	0.14455611136814048	0.025231926217865627	0.00020059586118032242	19.151788454492454	0.13422941372906827	0.3038791875592727	-0.37496303711743273
BELGIUM	44350	0.092	7.2e-06	0.1740181323758852	0.026399152771471136	0.0002561292450887373	16.70043174482438	0.13422941372906827	0.3038791875592727	-0.37496303711743273
BELGIUM	44357	0.115	6.9e-06	0.20952057029438903	0.027252899703485333	0.00031129225385905917	12.719717298351302	0.13422941372906827	0.3038791875592727	-0.37496303711743273
BELGIUM	44364	0.126	7.7e-06	0.24624878914367446	0.027830735170983344	0.0003715893844267714	8.746310069844968	0.13422941372906827	0.3038791875592727	-0.37496303711743273
BELGIUM	44371	0.134	8.6e-06	0.2755765484866538	0.028225171093490042	0.0004712815306273656	5.803650411000922	0.13422941372906827	0.3038791875592727	-0.37496303711743273
BELGIUM	44378	0.134	1.39e-05	0.3069629951996032	0.028482498877360943	0.0006678129124016698	4.683926716684717	0.13422941372906827	0.3038791875592727	-0.37496303711743273
GERMANY	44337	0.08	3.5e-06	0.11747996831410938	0.013602691028499671	6.201402131727402e-05	13.982639024755892	0.13422941372906827	0.3038791875592727	-0.37496303711743273
GERMANY	44344	0.091	3.1e-06	0.14382159902893168	0.014268543771715532	7.634334724274256e-05	9.666036320582752	0.13422941372906827	0.3038791875592727	-0.37496303711743273
GERMANY	44351	0.104	2.9e-06	0.17319427813374041	0.014848251371802042	9.708296019257656e-05	6.5970428223221775	0.13422941372906827	0.3038791875592727	-0.37496303711743273
GERMANY	44358	0.115	2.9e-06	0.21189884611286344	0.015280267903768244	0.00012064715002538018	4.131383243367012	0.13422941372906827	0.3038791875592727	-0.37496303711743273
GERMANY	44365	0.126	3.9e-06	0.25136752442873456	0.015608698884793023	0.00014668702641211566	2.665956428301814	0.13422941372906827	0.3038791875592727	-0.37496303711743273
GERMANY	44372	0.133	5.6e-06	0.29044063648577384	0.015850111477091647	0.0001745163347958826	1.647964526921428	0.13422941372906827	0.3038791875592727	-0.37496303711743273
GERMANY	44379	0.131	8.4e-06	0.3271994383571455	0.016018356599863087	0.00020463085368178496	0.9655488108046498	0.13422941372906827	0.3038791875592727	-0.37496303711743273
JAPAN	44337	0.052	5.1e-06	0.01653336917730528	0.0014022431100775875	1.2934093654419306e-05	4.420043487865004	0.13422941372906827	0.3038791875592727	-0.37496303711743273
JAPAN	44344	0.059	4.6e-06	0.020604801435071794	0.001616647005752112	1.6916207725030043e-05	4.094103459687791	0.13422941372906827	0.3038791875592727	-0.37496303711743273
JAPAN	44351	0.069	3.5e-06	0.02786916144354777	0.001788599712744265	2.1428602307342492e-05	3.1060494056697583	0.13422941372906827	0.3038791875592727	-0.37496303711743273
JAPAN	44358	0.077	3.7e-06	0.039499582310243635	0.0019314626737599832	2.7017715364866518e-05	2.2375503285199403	0.13422941372906827	0.3038791875592727	-0.37496303711743273
JAPAN	44365	0.082	3.1e-06	0.05836593339743056	0.0020521905138183444	3.384751985126834e-05	1.60078322710473	0.13422941372906827	0.3038791875592727	-0.37496303711743273
JAPAN	44372	0.085	2e-06	0.08223061961877173	0.0021636888610815186	4.4132625614824984e-05	1.2786908541220159	0.13422941372906827	0.3038791875592727	-0.37496303711743273
JAPAN	44379	0.085	1.3e-06	0.11039091510371837	0.0022677307396696727	6.0912563068843364e-05	1.171868839289202	0.13422941372906827	0.3038791875592727	-0.37496303711743273
JAPAN	44386	0.087	9e-07	0.13948754826271148	0.002365319297620648	9.000973777540056e-05	1.2767471932505685	0.13422941372906827	0.3038791875592727	-0.37496303711743273
JAPAN	44393	0.087	7e-07	0.17150061302893713	0.002458724461901805	0.00014840441708547627	1.5947142452000067	0.13422941372906827	0.3038791875592727	-0.37496303711743273
JAPAN	44400	0.09	6e-07	0.20308266460852684	0.002548794735387503	0.00026348699004176125	2.2597635956221964	0.13422941372906827	0.3038791875592727	-0.37496303711743273
JAPAN	44407	0.086	7e-07	0.24675311793818108	0.0026367589902191566	0.0004902757455978549	3.801681664905948	0.13422941372906827	0.3038791875592727	-0.37496303711743273
JAPAN	44414	0.08	9e-07	0.29070985660729093	0.0027261811234246818	0.0009477542758328508	6.532207856902387	0.13422941372906827	0.3038791875592727	-0.37496303711743273
JAPAN	44421	0.077	1.7e-06	0.3279052079362077	0.0027903250818408893	0.0015681880681739702	9.763127556925543	0.13422941372906827	0.3038791875592727	-0.37496303711743273
TX	44320	0.058	2.71e-05	0.23777351099726504	0.007087357057579671	3.5337137481375504e-05	10.905969891412074	0.13422941372906827	0.3038791875592727	-0.37496303711743273
TX	44327	0.066	1.88e-05	0.2664440060485545	0.007600574811272832	4.439118541890279e-05	9.633217883855504	0.13422941372906827	0.3038791875592727	-0.37496303711743273
TX	44334	0.08	1.35e-05	0.2938645820218641	0.008068311194853907	5.509834810790761e-05	8.290472235770148	0.13422941372906827	0.3038791875592727	-0.37496303711743273
TX	44341	0.094	1.37e-05	0.31877035721100794	0.008472566361803631	7.093776223784333e-05	6.950471436332978	0.13422941372906827	0.3038791875592727	-0.37496303711743273
TX	44348	0.106	1.23e-05	0.34211999952583666	0.008818962546549396	9.688133529874032e-05	5.456759112597295	0.13422941372906827	0.3038791875592727	-0.37496303711743273
TX	44355	0.111	9.7e-06	0.36514114409846193	0.009098767061727063	0.0001454062380201382	4.984302039027974	0.13422941372906827	0.3038791875592727	-0.37496303711743273
TX	44362	0.115	8.1e-06	0.3904507684327418	0.009379889580229056	0.00025642664078022107	5.16769223933502	0.13422941372906827	0.3038791875592727	-0.37496303711743273
TX	44369	0.119	7.2e-06	0.41581156914892925	0.00954040162013934	0.0003607554415350353	5.417988125441641	0.13422941372906827	0.3038791875592727	-0.37496303711743273
